5.36719, latitude, 14.6361, longitude, 3.30249
7.08594, latitude, 15.5661, longitude, 3.30227
9.64453, latitude, 16.4868, longitude, 3.30239
11.0078, latitude, 17.4026, longitude, 3.3022
12.4219, latitude, 18.0954, longitude, 3.30225
12.9935, latitude, 19.0172, longitude, 3.30209
15.0729, latitude, 19.9437, longitude, 3.30224
14.9987, latitude, 20.8577, longitude, 3.30221
16.3451, latitude, 21.7738, longitude, 3.30257
18.194, latitude, 22.4659, longitude, 3.3025
18.2409, latitude, 23.3948, longitude, 3.30221
20.4479, latitude, 24.3228, longitude, 3.30234
21.3828, latitude, 25.2474, longitude, 3.30229
22.1042, latitude, 26.1753, longitude, 3.30214
24.4427, latitude, 26.8623, longitude, 3.30233
25.2617, latitude, 27.7889, longitude, 3.30262
30.1784, latitude, 28.7099, longitude, 3.30224
31.9453, latitude, 29.63, longitude, 3.3021
35.138, latitude, 30.5521, longitude, 3.30237
37.2383, latitude, 31.474, longitude, 3.30226
38.0456, latitude, 32.1625, longitude, 3.30207
38.5039, latitude, 33.0877, longitude, 3.30208
36.7135, latitude, 34.0088, longitude, 3.30251
35.6419, latitude, 34.9408, longitude, 3.30259
32.3021, latitude, 35.6428, longitude, 3.3026
30.2721, latitude, 36.5763, longitude, 3.30237
27.8372, latitude, 37.5046, longitude, 3.30254
23.4987, latitude, 38.4247, longitude, 3.3023
18.8151, latitude, 39.3185, longitude, 3.30256
14.7956, latitude, 40.2065, longitude, 3.30246
10.7565, latitude, 41.0918, longitude, 3.30255
7.8763, latitude, 41.9693, longitude, 3.30246
3.72917, latitude, 42.8519, longitude, 3.30221
0.695312, latitude, 43.7451, longitude, 3.30241
0.526042, latitude, 44.4074, longitude, 3.30265
0.472656, latitude, 45.4923, longitude, 3.3023
0, latitude, 46.3475, longitude, 3.30211
0, latitude, 47.209, longitude, 3.30238
0, latitude, 48.0705, longitude, 3.30236
0, latitude, 48.932, longitude, 3.30239
0, latitude, 49.7927, longitude, 3.30239
0, latitude, 50.6671, longitude, 3.30228
0, latitude, 51.5218, longitude, 3.30251
0, latitude, 52.373, longitude, 3.30235
0, latitude, 53.2167, longitude, 3.3026
0, latitude, 54.0548, longitude, 3.30206
0, latitude, 55.1031, longitude, 3.30213
0, latitude, 55.941, longitude, 3.30226
0, latitude, 56.7966, longitude, 3.30255
0, latitude, 57.6336, longitude, 3.30205
0, latitude, 58.4778, longitude, 3.30251
0, latitude, 59.3153, longitude, 3.30231
0, latitude, 60.1594, longitude, 3.30242
0, latitude, 61.2184, longitude, 3.30248
0, latitude, 62.0576, longitude, 3.30247
0, latitude, 62.8976, longitude, 3.30245
0, latitude, 63.7451, longitude, 3.30235
0, latitude, 64.5856, longitude, 3.30222
0, latitude, 65.427, longitude, 3.30259
0, latitude, 66.4684, longitude, 3.302
0, latitude, 67.2987, longitude, 3.30247
0, latitude, 68.1353, longitude, 3.30247
0, latitude, 69.1767, longitude, 3.30221
0, latitude, 70.0137, longitude, 3.30248
0, latitude, 70.8519, longitude, 3.30235
0, latitude, 71.6867, longitude, 3.30231
0, latitude, 72.5355, longitude, 3.30248
0, latitude, 73.3776, longitude, 3.30258
0, latitude, 74.415, longitude, 3.30224
0, latitude, 75.2457, longitude, 3.30229
0, latitude, 76.0849, longitude, 3.30242
0, latitude, 76.9163, longitude, 3.30212
0, latitude, 77.7486, longitude, 3.30218
0, latitude, 78.7958, longitude, 3.30256
0, latitude, 79.63, longitude, 3.3023
0, latitude, 80.4618, longitude, 3.3023
0, latitude, 81.297, longitude, 3.30231
0, latitude, 82.1413, longitude, 3.30222
0.0481771, latitude, 82.9804, longitude, 3.30233
0.526042, latitude, 84.0227, longitude, 3.30243
0.552083, latitude, 84.8538, longitude, 3.30225
0.476562, latitude, 85.6873, longitude, 3.30223
0.408854, latitude, 86.5291, longitude, 3.30216
0.333333, latitude, 87.3734, longitude, 3.30202
0.109375, latitude, 87.5812, longitude, 3.87974
0.779948, latitude, 87.5816, longitude, 4.64199
2.08333, latitude, 86.9504, longitude, 4.83238
1.78125, latitude, 86.109, longitude, 4.83244
1.1875, latitude, 85.272, longitude, 4.83206
0.38151, latitude, 84.4228, longitude, 4.83212
0.191406, latitude, 83.3862, longitude, 4.83227
0.203125, latitude, 82.5488, longitude, 4.83251
0.217448, latitude, 81.7133, longitude, 4.83226
0.0117188, latitude, 80.8703, longitude, 4.8324
0, latitude, 80.0341, longitude, 4.83273
0, latitude, 79.1947, longitude, 4.83228
0, latitude, 78.1498, longitude, 4.83238
0, latitude, 77.3143, longitude, 4.8324
0, latitude, 76.4834, longitude, 4.83225
0, latitude, 75.6372, longitude, 4.83261
0, latitude, 74.7865, longitude, 4.83258
0, latitude, 73.9484, longitude, 4.83248
0, latitude, 72.8986, longitude, 4.83223
0, latitude, 72.8985, longitude, 4.83227
0, latitude, 71.2298, longitude, 4.83224
0, latitude, 71.2298, longitude, 4.83224
0, latitude, 69.3427, longitude, 4.83224
0, latitude, 69.3427, longitude, 4.83224
0, latitude, 67.6685, longitude, 4.83223
0, latitude, 67.6685, longitude, 4.83223
0, latitude, 66.8397, longitude, 4.83246
0, latitude, 65.9954, longitude, 4.83229
0, latitude, 64.9445, longitude, 4.83201
0, latitude, 64.0995, longitude, 4.83245
0, latitude, 63.2555, longitude, 4.83232
0, latitude, 62.405, longitude, 4.83248
0, latitude, 61.5689, longitude, 4.83247
0, latitude, 60.7273, longitude, 4.83232
0, latitude, 59.8797, longitude, 4.83249
0, latitude, 58.8261, longitude, 4.83267
0, latitude, 57.9887, longitude, 4.83263
0, latitude, 57.1487, longitude, 4.8323
0, latitude, 56.3098, longitude, 4.83267
0, latitude, 55.2624, longitude, 4.83242
0, latitude, 54.4285, longitude, 4.83264
0, latitude, 53.5866, longitude, 4.83242
0, latitude, 52.7434, longitude, 4.83233
0, latitude, 51.8935, longitude, 4.83247
0, latitude, 51.0355, longitude, 4.83245
0, latitude, 50.1776, longitude, 4.83258
0, latitude, 49.3187, longitude, 4.83276
0, latitude, 48.4612, longitude, 4.83248
0.106771, latitude, 47.3812, longitude, 4.83253
1.18099, latitude, 46.631, longitude, 4.83243
1.56641, latitude, 45.7619, longitude, 4.83259
2.13932, latitude, 44.8972, longitude, 4.83211
6.16016, latitude, 44.0203, longitude, 4.8323
11.4167, latitude, 43.141, longitude, 4.83246
14.3138, latitude, 42.2426, longitude, 4.83226
16.6849, latitude, 41.3359, longitude, 4.83269
21.9219, latitude, 40.4349, longitude, 4.83213
25.5182, latitude, 39.5132, longitude, 4.83262
30.3359, latitude, 38.8198, longitude, 4.83242
32.0156, latitude, 37.9052, longitude, 4.83236
32.9167, latitude, 36.9899, longitude, 4.83267
36.526, latitude, 36.0673, longitude, 4.83286
36.5365, latitude, 35.1444, longitude, 4.83259
39.1224, latitude, 34.4562, longitude, 4.83267
40.1471, latitude, 33.5327, longitude, 4.83252
40.2148, latitude, 32.6083, longitude, 4.83235
38.7005, latitude, 31.6877, longitude, 4.83238
34.4922, latitude, 30.7586, longitude, 4.8325
32.0391, latitude, 30.0635, longitude, 4.83258
28.1888, latitude, 29.1262, longitude, 4.83254
26.9635, latitude, 28.2036, longitude, 4.83262
25.2487, latitude, 27.2746, longitude, 4.83253
23.2891, latitude, 26.5914, longitude, 4.8327
