0, latitude, 60.2526, longitude, -1.66466
0, latitude, 59.4141, longitude, -1.66463
0, latitude, 58.7117, longitude, -1.66467
0, latitude, 57.7283, longitude, -1.66478
0, latitude, 56.74, longitude, -1.66455
0, latitude, 55.8905, longitude, -1.66444
0, latitude, 55.1902, longitude, -1.66453
0, latitude, 54.3321, longitude, -1.66496
0, latitude, 53.3443, longitude, -1.66476
0, latitude, 52.3517, longitude, -1.66431
0, latitude, 51.489, longitude, -1.66451
0, latitude, 50.6271, longitude, -1.66452
0, latitude, 49.7653, longitude, -1.66483
0, latitude, 48.8897, longitude, -1.66455
0, latitude, 48.0325, longitude, -1.66476
0, latitude, 47.161, longitude, -1.66473
0, latitude, 46.2873, longitude, -1.66447
0, latitude, 45.3771, longitude, -1.66473
0, latitude, 44.4699, longitude, -1.66484
0, latitude, 43.7024, longitude, -1.66459
0, latitude, 42.7727, longitude, -1.66485
0, latitude, 41.9932, longitude, -1.66474
0, latitude, 41.2052, longitude, -1.66451
0, latitude, 40.1173, longitude, -1.66446
0.348958, latitude, 39.2869, longitude, -1.66477
1.28776, latitude, 38.4506, longitude, -1.66472
1.85286, latitude, 37.6045, longitude, -1.66476
1.9349, latitude, 36.5905, longitude, -1.66447
1.97266, latitude, 35.7525, longitude, -1.66462
2.33724, latitude, 34.9013, longitude, -1.66458
3.33984, latitude, 34.0498, longitude, -1.66503
3.70573, latitude, 33.2164, longitude, -1.6646
3.15755, latitude, 32.2237, longitude, -1.66434
2.27214, latitude, 31.3833, longitude, -1.66452
2.11589, latitude, 30.5467, longitude, -1.66459
2.27604, latitude, 29.7127, longitude, -1.66478
2.23307, latitude, 28.7241, longitude, -1.66475
1.86979, latitude, 27.8846, longitude, -1.66464
1.65365, latitude, 27.0459, longitude, -1.66434
1.97786, latitude, 26.206, longitude, -1.66472
2.35156, latitude, 25.3601, longitude, -1.66476
2.33464, latitude, 24.3596, longitude, -1.6646
2.38281, latitude, 23.5235, longitude, -1.66455
3.60807, latitude, 22.6727, longitude, -1.66464
4.33854, latitude, 21.6618, longitude, -1.6646
4.38542, latitude, 20.8215, longitude, -1.66461
4.14453, latitude, 19.9885, longitude, -1.66466
3.70833, latitude, 19.1506, longitude, -1.66428
3.19922, latitude, 18.295, longitude, -1.66455
3.1263, latitude, 17.4422, longitude, -1.66472
2.26042, latitude, 16.43, longitude, -1.66462
1.57161, latitude, 15.5945, longitude, -1.66426
0.871094, latitude, 14.7578, longitude, -1.66462
0.479167, latitude, 13.9156, longitude, -1.66444
0.84375, latitude, 12.9248, longitude, -1.66441
0.89974, latitude, 12.0991, longitude, -1.66459
1.44401, latitude, 11.261, longitude, -1.66479
2.00651, latitude, 10.411, longitude, -1.66425
2.72917, latitude, 9.55892, longitude, -1.66453
2.92578, latitude, 8.53728, longitude, -1.66469
3.125, latitude, 7.7065, longitude, -1.66444
2.94141, latitude, 6.86823, longitude, -1.66458
2.6263, latitude, 6.02524, longitude, -1.66486
2.27865, latitude, 5.17323, longitude, -1.66469
1.95964, latitude, 4.16356, longitude, -1.66459
1.74089, latitude, 3.3262, longitude, -1.66439
2.51823, latitude, 2.4924, longitude, -1.66464
2.61979, latitude, 1.65023, longitude, -1.6645
3.3776, latitude, 0.969221, longitude, -1.66446
4.29818, latitude, -0.0920345, longitude, -1.66464
5.17188, latitude, -0.993948, longitude, -1.66463
5.78906, latitude, -1.84861, longitude, -1.66457
6.71224, latitude, -2.69307, longitude, -1.66446
8.35807, latitude, -3.71836, longitude, -1.66458
7.30469, latitude, -4.57021, longitude, -1.66463
6.43359, latitude, -5.42961, longitude, -1.66452
6.19401, latitude, -6.28423, longitude, -1.66463
6.14062, latitude, -7.13549, longitude, -1.66461
6.30599, latitude, -7.99679, longitude, -1.66453
6.55078, latitude, -8.87121, longitude, -1.66459
5.99089, latitude, -9.7391, longitude, -1.66451
5.41667, latitude, -10.6024, longitude, -1.66442
4.39193, latitude, -11.4554, longitude, -1.66472
2.71484, latitude, -11.4553, longitude, -1.66451
1.36328, latitude, -13.2984, longitude, -1.66462
0.484375, latitude, -13.2984, longitude, -1.66462
0.0989583, latitude, -15.1345, longitude, -1.66457
0, latitude, -15.1345, longitude, -1.66457
0.813802, latitude, -16.8114, longitude, -1.66468
1.0612, latitude, -16.8114, longitude, -1.66468
1.26172, latitude, -18.5619, longitude, -1.66453
1.46094, latitude, -18.5619, longitude, -1.66453
3.01302, latitude, -20.3171, longitude, -1.66458
5.11589, latitude, -20.3171, longitude, -1.66458
8.96094, latitude, -22.0802, longitude, -1.6645
10.4857, latitude, -22.0802, longitude, -1.6645
10.5794, latitude, -23.0337, longitude, -1.66435
11.1914, latitude, -23.8175, longitude, -1.66433
11.7773, latitude, -24.5964, longitude, -1.66422
12.4284, latitude, -25.6753, longitude, -1.66426
12.7044, latitude, -26.4513, longitude, -1.66436
12.5872, latitude, -27.38, longitude, -1.66453
8.19531, latitude, -28.2998, longitude, -1.66441
4.83203, latitude, -29.0781, longitude, -1.66441
3.40365, latitude, -30.0022, longitude, -1.66462
3.58594, latitude, -30.9143, longitude, -1.66459
4.82812, latitude, -31.8357, longitude, -1.66425
6.52995, latitude, -32.6006, longitude, -1.66451
7.39844, latitude, -33.5321, longitude, -1.66471
8.33203, latitude, -34.4536, longitude, -1.66427
8.41276, latitude, -35.2307, longitude, -1.66444
7.97656, latitude, -36.1602, longitude, -1.66448
6.8737, latitude, -36.9438, longitude, -1.66444
5.63932, latitude, -37.722, longitude, -1.6643
4.26172, latitude, -38.8126, longitude, -1.66475
2.87109, latitude, -39.5897, longitude, -1.66445
1.89193, latitude, -40.5146, longitude, -1.66465
1.44922, latitude, -41.4552, longitude, -1.66454
1.19271, latitude, -42.0769, longitude, -1.66445
0.869792, latitude, -43.1544, longitude, -1.66417
0.66276, latitude, -44.0855, longitude, -1.66431
0.692708, latitude, -44.7105, longitude, -1.66451
0.981771, latitude, -45.788, longitude, -1.66431
1.95573, latitude, -46.5645, longitude, -1.66449
2.53516, latitude, -47.3405, longitude, -1.66448
2.19661, latitude, -48.4344, longitude, -1.66434
2.08073, latitude, -49.2089, longitude, -1.66434
2.13672, latitude, -50.1366, longitude, -1.66437
2.19271, latitude, -51.069, longitude, -1.66432
2.02734, latitude, -51.9961, longitude, -1.66415
1.45703, latitude, -52.7846, longitude, -1.66469
0.529948, latitude, -53.7327, longitude, -1.66445
0.122396, latitude, -54.5253, longitude, -1.66466
0, latitude, -55.4704, longitude, -1.66445
0, latitude, -56.0911, longitude, -1.66455
0, latitude, -57.1892, longitude, -1.66451
0, latitude, -58.1438, longitude, -1.66432
0, latitude, -58.9187, longitude, -1.66466
0, latitude, -59.8288, longitude, -1.66437
0, latitude, -60.7373, longitude, -1.66449
0, latitude, -61.3411, longitude, -1.66427
0.152344, latitude, -62.4058, longitude, -1.66421
0.217448, latitude, -63.3125, longitude, -1.6644
0.464844, latitude, -64.1792, longitude, -1.66447
1.03255, latitude, -65.0692, longitude, -1.66424
1.30339, latitude, -65.9334, longitude, -1.66408
1.94661, latitude, -66.8127, longitude, -1.66412
2.08333, latitude, -67.6779, longitude, -1.66453
2.20833, latitude, -68.5775, longitude, -1.66426
3.15495, latitude, -69.433, longitude, -1.66435
4.20573, latitude, -70.2927, longitude, -1.66449
